what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514301713081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514301728227
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1514301732683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514301732991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514301744500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514301746075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514301987387
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1514301990545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514301990845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514301992998
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1514302003505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514302003801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514302005923
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1514302009350
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514302021662
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514302021742
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1514302026055
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1514302026058
executed,command,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project.commands.bspEditor",1514302028177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514302028473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514302038881
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1514302040633
