what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512055328350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055331663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055334207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055334222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055336472
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1512055342301
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1512055342301
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1512055343551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055343691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055343801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055343801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055349755
error,log,,,"Unable to validate connection settings.",1512055357724
error,log,,,"Unable to validate connection settings.",1512055357724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055357758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055363129
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1512055367848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055370600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055371303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055385841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055386528
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1512055388278
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512055400834
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1512055404537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055436991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055438054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055438742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055452118
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512055452118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512055453177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055455553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055459960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512055462679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1512055469086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512055470883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512055476759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055480152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055486694
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1512055488428
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512055488757
error,log,,,"Unable to validate connection settings.",1512055492398
error,log,,,"Unable to validate connection settings.",1512055492398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055492429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055493882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512055494804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061286662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061289835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061291319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061291725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061410852
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1512061418667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061428132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061445839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061447277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061448058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061448527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061491212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061508596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061516195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061516602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061518992
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512061560620
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512061560714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061568809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061589637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061604135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061605104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061605651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061607339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061607870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061616700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061619279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061652876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061655345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061793219
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512061796111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512061802065
