what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1512639600757
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1512639600757
java.specification.name,sysinfo,,,"Java Platform API Specification",1512639600757
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1512639600757
java.specification.version,sysinfo,,,"1.6",1512639600757
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1512639600757
java.version,sysinfo,,,"1.6.0_23",1512639600757
java.vm.info,sysinfo,,,"mixed mode",1512639600757
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1512639600757
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1512639600757
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1512639600757
java.vm.specification.version,sysinfo,,,"1.0",1512639600757
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1512639600757
java.vm.version,sysinfo,,,"19.0-b09",1512639600757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512639600810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512639618706
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1512639626958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1512639627611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512639628580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512639629272
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1512639630070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1512639630753
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1512639636755
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512639638737
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512639638788
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512639641782
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512639641807
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1512639647466
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1512639649527
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1512639649527
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1512639649528
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1512639649533
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1512639650973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512639651123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512639659024
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1512639659043
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512639663726
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1512639663943
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1512639663948
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1512639663949
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1512639663949
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1512639663956
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512639671260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512639686747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512641878079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512641880376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512641881729
